name,lat,lon,operator
Hyattsville Police Station,38.9529642,-76.9418852,
Berwyn Heights Police Station,38.9934639,-76.9213981,Berwyn Heights Town
Maryland National Capital Park Police Headquarters,38.96281,-76.90228,
Town of Riverdale Park Police Station,38.9619263,-76.9285333,
Prince George's County Police Department: Special Operations Division: Aviation Section,38.9819084,-76.9265222,Prince George's County Police Department
University Park Police,38.9723303,-76.9383723,
University of Maryland Police Department,38.982958,-76.937146,University of Maryland College Park
Maryland State Police - Barrack Q,39.0196536,-76.9243411,Maryland State Police
Greenbelt Police Department,39.0066018,-76.891439,
Prince George's County Police Department Division I - Hyattsville,38.9508199,-76.9427948,Prince George's County Police Department
United States Park Police Greenbelt Station,38.9952828,-76.8953269,United States Park Police
